file_name,char_name,x_norm_mean,x_norm_median,x_norm_std,x_norm_var,x_norm_min,x_norm_max,x_norm_range,x_norm_rms,x_norm_skewness,x_norm_kurtosis,x_norm_peak_to_peak,x_norm_energy,x_norm_zero_crossing_rate,y_norm_mean,y_norm_median,y_norm_std,y_norm_var,y_norm_min,y_norm_max,y_norm_range,y_norm_rms,y_norm_skewness,y_norm_kurtosis,y_norm_peak_to_peak,y_norm_energy,y_norm_zero_crossing_rate,z_norm_mean,z_norm_median,z_norm_std,z_norm_var,z_norm_min,z_norm_max,z_norm_range,z_norm_rms,z_norm_skewness,z_norm_kurtosis,z_norm_peak_to_peak,z_norm_energy,z_norm_zero_crossing_rate,sma,x_norm_dominant_freq,x_norm_spectral_energy,x_norm_spectral_entropy,x_norm_spectral_centroid,x_norm_band_power_0_10Hz,x_norm_fft_coef_0,x_norm_fft_coef_1,x_norm_fft_coef_2,x_norm_fft_coef_3,x_norm_fft_coef_4,y_norm_dominant_freq,y_norm_spectral_energy,y_norm_spectral_entropy,y_norm_spectral_centroid,y_norm_band_power_0_10Hz,y_norm_fft_coef_0,y_norm_fft_coef_1,y_norm_fft_coef_2,y_norm_fft_coef_3,y_norm_fft_coef_4,z_norm_dominant_freq,z_norm_spectral_energy,z_norm_spectral_entropy,z_norm_spectral_centroid,z_norm_band_power_0_10Hz,z_norm_fft_coef_0,z_norm_fft_coef_1,z_norm_fft_coef_2,z_norm_fft_coef_3,z_norm_fft_coef_4,magnitude_mean,magnitude_var,magnitude_rms,magnitude_max,magnitude_min,magnitude_range,correlation_xy,correlation_xz,correlation_yz,covariance_xy,covariance_xz,covariance_yz,angle_xy_xz,angle_xy_yz,angle_xz_yz,avg_window_slope,total_peaks,total_troughs,peaks_per_window,troughs_per_window,activity_counts,svm,tilt_x,tilt_y,jerk_x_mean,jerk_y_mean,jerk_z_mean,jerk_magnitude,auc_x,auc_y,auc_z,entropy_x,entropy_y,entropy_z,autocorr_x,autocorr_y,autocorr_z
অ_36606b04_Right Hand_20250423_120617_preprocessed.csv,অ_36606b04_Right Hand_20250423_120617_preprocessed,1.2728038258129873e-17,-0.1916160376901172,1.0,1.0,-2.454992085151635,3.2287624690072425,5.683754554158877,1.0,1.295045092431775,1.0997154643496199,5.683754554158877,1.0,0.006269592476489028,0.0,-0.2859377806681003,1.0,1.0,-2.62506210916488,3.261731409746082,5.886793518910962,1.0,0.4768881901476359,0.566080936416681,5.886793518910962,1.0,0.007165248544558889,-2.386507173399351e-16,0.0357658295540092,1.0,1.0,-3.858465087832406,2.45572742374401,6.314192511576416,0.9999999999999999,-0.4545618613506131,1.9862023037365057,6.314192511576416,0.9999999999999998,0.021495745633676667,2.1128405350617876,0.044782803403493054,1116.4999987007363,6.332457641445035,2.345709388243031,11127.772219327831,5.639932965095795e-14,851.1171916502764,547.6790483940422,133.47667312016142,163.52150924356252,0.4030452306314375,1116.4999829801193,6.112761023589587,2.017157957129918,11128.652511799448,2.6645352591003757e-15,498.35796987376636,158.0345690312917,186.67175547226148,321.3039995074523,0.5373936408419167,1116.4999959522777,6.181213151534056,2.4342757557302943,11127.981744278137,5.060396546241464e-13,75.55607781659192,40.520221795223634,18.209414539991343,61.64983409942568,1.4235210662865392,0.9735877738384329,1.7320508075688772,4.2045884635382516,0.12703955079141613,4.077548912746836,-0.18988579928750263,0.5892750602597444,0.01650058535746989,-0.18997087357033754,0.5895390723835168,0.0165079780928451,86.94711748520757,90.0,3.0528825147924628,-0.0008035514551562812,184,178,8.363636363636363,8.090909090909092,3199,1.4235210662865392,-3.0528825147924286,-0.0,0.023139619028964862,0.02544585305512549,0.026447188115661206,0.049862775815581295,1644.0692048508763,1744.0491454214437,1329.1561882794479,1.4189385332046738,1.4189385332046718,1.4189385332046727,0.9991205496153825,0.9991942200780314,0.9989816556879638
অ_36606b04_Right Hand_20250423_120731_preprocessed.csv,অ_36606b04_Right Hand_20250423_120731_preprocessed,3.7545190793136074e-17,-0.2909439765589435,0.9999999999999998,0.9999999999999997,-1.994474265353137,2.987122240771134,4.981596506124271,0.9999999999999998,1.2446578017902787,1.0145221876506598,4.981596506124271,0.9999999999999997,0.009247027741083224,-1.8772595396568037e-17,-0.2258592676031312,1.0,1.0,-3.263401912609708,2.801057594625787,6.064459507235495,1.0,-0.026153170291131372,0.6197506724142929,6.064459507235495,1.0,0.008586525759577279,-1.1732872122855024e-16,0.050959079156625245,1.0,1.0,-2.7092414729367533,2.4409976167646787,5.150239089701432,1.0,0.21569632871840794,0.6507210200255149,5.150239089701432,1.0000000000000002,0.01453104359313078,2.1695682719352694,0.06605019815059444,756.999940073935,5.677374650480544,2.1696897077650767,7538.582690921169,5.329070518200751e-15,549.291444537103,339.421171338409,111.03431911394912,124.39257700529683,0.5284015852047556,756.9999315225573,5.776648094914213,2.7847786075511083,7537.749777232006,7.016609515630989e-14,264.67368059387456,117.72500904321214,181.67004463026439,123.5407848513924,0.59445178335535,756.9999892190565,5.195858454147201,1.98325049422009,7539.136118409481,1.9539925233402755e-13,20.48976968393526,65.2688932499107,30.275439304007133,101.7082281788487,1.4525923317312592,0.8899755177955427,1.7320508075688772,3.9466252884070943,0.3035656359222158,3.6430596524848786,-0.08440379374364561,0.6740366662671763,0.08125592188493826,-0.08445957946323823,0.6744821630723761,0.08130962705472342,74.18097726073078,85.94836216941191,19.87066056985734,0.0021960182080084534,93,92,6.2,6.133333333333334,2135,1.4525923317312592,-17.74467162505693,9.09027692082232,0.029580698904113086,0.02901104833469126,0.02731088960350064,0.05633162276735064,1126.7377666835005,1172.4991014716227,984.7000725229302,1.4189385332046727,1.4189385332046727,1.4189385332046727,0.9990012270804307,0.9989754776785755,0.9990378467529134
আ_36606b04_Right Hand_20250423_120748_preprocessed.csv,আ_36606b04_Right Hand_20250423_120748_preprocessed,-7.070076972737315e-17,-0.310246231268858,0.9999999999999998,0.9999999999999997,-2.2519570346636635,3.02075331400332,5.272710348666983,0.9999999999999999,1.185331538517022,1.027684415618081,5.272710348666983,0.9999999999999999,0.010572139303482588,1.7675192431843288e-17,0.09269632778875285,0.9999999999999998,0.9999999999999997,-3.740563627739933,2.365008576252671,6.105572203992604,0.9999999999999998,-0.6699936481091582,1.5339829948203505,6.105572203992604,0.9999999999999997,0.011194029850746268,-1.9884591485823698e-17,0.00783839801625955,0.9999999999999998,0.9999999999999997,-3.5200759019501278,2.331734508559724,5.851810410509852,0.9999999999999998,-0.2693115304426556,1.7037800427090657,5.851810410509852,0.9999999999999997,0.016791044776119403,2.061538677465328,0.062189054726368154,803.9999944938813,6.009512097678378,2.7214763534393502,8027.385549536749,3.8413716652030416e-14,636.5032713680259,274.0854361966853,102.74164897218768,99.36705114288735,0.3731343283582089,803.9998206400674,6.232058115564474,3.5311967749766504,8025.5087297404925,1.1324274851176597e-14,207.28907543002094,228.0506393743101,360.6024139222962,117.64090539285951,0.6218905472636815,803.9999041544596,6.3388342753836,4.5384226107021854,8023.549630319889,3.824718319833664e-14,27.733774646504234,40.652770055276946,28.43558094750959,90.07633363653359,1.3864747022278372,1.0776879000822284,1.7320508075688772,4.136170459316951,0.1077633673170651,4.028407091999886,0.038744635486834746,0.7066264427268163,0.031082754146455206,0.03876874540313021,0.7070661604883137,0.031102096246110735,20.947470586951173,80.7273982227997,78.32513119024915,-0.0028264812438798877,100,95,6.25,5.9375,2177,1.3864747022278372,74.29136217098426,-41.6335393365702,0.027512496395511926,0.02609602630088378,0.024832655152580617,0.051651225254659205,1190.595954330181,1144.697494209434,977.6629137692258,1.4189385332046724,1.4189385332046733,1.418938533204672,0.9989221835271868,0.99912500563303,0.999039922127717
আ_36606b04_Right Hand_20250423_120805_preprocessed.csv,আ_36606b04_Right Hand_20250423_120805_preprocessed,-8.878316104772826e-17,-0.1919271127942862,1.0,1.0000000000000002,-2.5197357861925336,3.984557603585447,6.504293389777981,1.0,1.5005980757969448,2.8551259613484836,6.504293389777981,1.0000000000000002,0.010933229207340883,-4.439158052386413e-17,-0.0603258757736329,1.0,1.0,-3.20286284526127,2.7376490035128254,5.940511848774095,1.0,-0.18617399594165648,1.0321712426122431,5.940511848774095,1.0,0.008590394377196407,6.381289700305469e-17,0.0359823637613393,1.0,1.0,-3.765805592962893,3.1035591914320912,6.869364784394984,1.0,0.15465094821409994,2.2897449361910134,6.869364784394984,1.0,0.016009371339320577,1.9643186400970167,0.46856696602889497,1280.4999875761573,6.301954648693768,2.094166851548424,12758.055039779048,5.773159728050814e-14,749.7059984991115,628.3406809041021,351.3871580373774,83.82706452113747,0.39047247169074584,1280.4999599210712,6.176607495620865,1.9805844123835874,12758.407834660811,1.0980105713542798e-13,346.85301580826524,215.88056690822086,279.52918094886104,322.02679908588516,0.46856696602889497,1280.4999965551349,6.016949975208421,2.020882421916363,12758.735190414107,1.5276668818842154e-13,33.83421061083126,96.01326018786382,65.14306360824565,54.07283433378645,1.347281726907131,1.1848319483421403,1.7320508075688772,5.1156244650751646,0.1219850142394125,4.993639450835752,-0.11463947020364278,0.6946397136831258,-0.03496781448043917,-0.11468425124669107,0.6949110573212831,-0.034981473782970576,43.42384771945714,75.2034344899708,61.37271779057206,0.001199416091329803,169,170,6.76,6.8,3106,1.347281726907131,-54.293308599397115,-34.824489156956794,0.025583431621838938,0.023254497223321725,0.021986163344767887,0.04600437619667695,1712.7868706273916,1819.690639320227,1497.557789970871,1.418938533204673,1.4189385332046731,1.4189385332046738,0.9991443006762734,0.9992909258026192,0.9992984557522645
ক_01083526_Right Hand_20250423_122648_preprocessed.csv,ক_01083526_Right Hand_20250423_122648_preprocessed,5.518778530175535e-17,-0.2874369459520273,1.0,1.0000000000000002,-2.1265561580674954,2.779078858685394,4.905635016752889,1.0,0.48259888382512073,0.35509448564209967,4.905635016752889,1.0000000000000002,0.0024271844660194173,1.034770974407913e-17,-0.0849107457083594,1.0,1.0,-2.801193489605132,3.779181098432952,6.580374588038084,1.0,0.8177280658784193,2.3369628383767047,6.580374588038084,1.0,0.007766990291262136,-1.793603022307049e-16,0.09472354663697205,0.9999999999999999,0.9999999999999998,-2.30605003012591,3.3757839589662493,5.681833989092159,0.9999999999999999,0.5362360553613467,1.785517425335355,5.681833989092159,0.9999999999999998,0.007281553398058253,2.075247257785896,0.04854368932038835,1029.999683993324,7.0775277101279785,5.539559912301742,10236.342785299708,7.260858581048524e-14,1007.5205277738798,156.66594403688543,483.9825733218864,115.90015671438599,0.4854368932038835,1029.99999818273,5.692324116218216,1.9840269012179192,10248.929955660196,1.9984014443252818e-15,244.07702810042022,120.44615813644688,29.34283770743755,171.0887245992822,0.4854368932038835,1029.9999684831625,6.0301327653641685,2.514598651772355,10247.848801197646,3.929079284148429e-13,6.775117623386112,80.74012801356614,197.07355410068683,147.65263110366365,1.3717041658274645,1.118427681451579,1.7320508075688772,4.574026431397178,0.23935912408491858,4.33466730731226,-0.10014368464358914,0.4995005597446598,-0.030364291673823426,-0.1001923216929547,0.49974315350849885,-0.030379038780027325,73.19898227731701,89.3918293418505,17.40918838083246,0.0010503869232852947,135,132,6.75,6.6,2913,1.3717041658274645,-17.10272896905237,-3.3018656744350037,0.015931817608343026,0.022033406137001527,0.024131156279361722,0.04162628466366389,1650.686348285022,1286.416742634139,1336.1912538756412,1.4189385332046731,1.4189385332046736,1.418938533204674,0.99967609038141,0.9992099727145308,0.9991587403093365
ক_01083526_Right Hand_20250423_122659_preprocessed.csv,ক_01083526_Right Hand_20250423_122659_preprocessed,0.0,-0.2256029083440732,1.0,1.0,-2.003302246214394,3.618692697017333,5.621994943231726,1.0,1.106909293867816,1.5429831817475845,5.621994943231726,1.0,0.012616566099835436,7.795312515195833e-18,0.0659159580233723,1.0,1.0000000000000002,-3.717813541743907,2.541164029192644,6.258977570936551,1.0,-0.3603289554855498,1.9026172080051982,6.258977570936551,1.0000000000000002,0.009325287986834888,2.6504062551665834e-16,0.0604480537257498,1.0,1.0000000000000002,-2.947712152381729,3.501577177645263,6.449289330026993,1.0,0.33362549508231903,2.0945748166372145,6.449289330026993,1.0000000000000002,0.01426220515633571,1.9662125540507398,0.05485463521667581,911.4999086707016,6.192948153335527,2.6691402572946044,9077.610805366827,6.261657858885883e-14,617.8272093228329,416.5797528062117,234.44780003538733,451.36117405518416,0.4936917169500823,911.4999194799833,5.784050773655954,2.582255157910138,9078.320437340122,2.1538326677728037e-14,178.99815731032655,35.34075608327946,166.1709246483457,18.369200658968936,0.7679648930334613,911.4999978901303,5.525108321274106,1.8126668328923208,9079.017995473225,4.833911049217932e-13,85.87997911116922,38.01610950945013,99.25613438448029,164.50046685142482,1.2988406351094448,1.3130130045884953,1.7320508075688772,4.578434333234914,0.03511085647342479,4.543323476761489,-0.23139118187223884,0.4350462678743046,0.0917011392930697,-0.23151818032551663,0.43528504189618944,0.09175146922682001,90.0,88.31531568210372,1.6846843178960638,-0.0009925222801882429,105,107,5.833333333333333,5.944444444444445,2007,1.2988406351094448,0.0,1.6846843178962914,0.02676296855886932,0.021927662538224094,0.026054262702354926,0.048801697205681546,1271.6705934052159,1197.9173946952412,1114.1415564965482,1.4189385332046733,1.4189385332046731,1.4189385332046724,0.999177587117086,0.999141272291391,0.9990621055837627
ক_01083526_Right Hand_20250423_122711_preprocessed.csv,ক_01083526_Right Hand_20250423_122711_preprocessed,3.1301442103969174e-17,-0.3726847276596546,1.0,1.0,-1.8060392305507,4.109023695406604,5.915062925957304,1.0,2.0193657492670627,3.9008218134011923,5.915062925957304,1.0,0.006607929515418502,-7.825360525992293e-17,-0.0729452532695891,1.0,1.0000000000000002,-2.631293551881141,2.7444970733118126,5.375790625192954,1.0,0.3715797797393104,1.5190219407446648,5.375790625192954,1.0000000000000002,0.008259911894273128,-1.5650721051984586e-16,0.10252422795548075,0.9999999999999999,0.9999999999999999,-3.4562488641715268,2.8790567270256293,6.335305591197156,1.0,-0.46118255292383226,1.782270823034465,6.335305591197156,1.0,0.009911894273127754,1.941557906083875,0.05506607929515418,907.9999911388632,5.582319409415479,1.8473264609776403,9058.995008571399,3.952393967665557e-14,680.2464645820645,640.0387670587378,263.01531107491826,151.07306389339752,0.49559471365638763,907.9999987229189,5.562313622049591,1.9087351354014739,9058.887423747217,1.4477308241112041e-13,41.79538513520153,154.37455247821356,59.23561038185724,147.63119691504795,0.7158590308370044,907.9999999904347,5.695556766675017,2.0143930271659647,9058.436247936603,2.8066438062523957e-13,181.520553401013,35.79916685516629,63.44167500214364,103.13553811651332,1.3068781737518564,1.292069438971015,1.7320508075688772,5.221234550639886,0.2252218042522574,4.9960127463876285,0.06023036775049476,0.5190206260816342,0.3258054096750207,0.06026355252611487,0.5193065878590898,0.3259849167877894,85.8231229093241,65.46636228707797,28.71051480359794,8.593299394572147e-05,107,107,5.944444444444445,5.944444444444445,2258,1.3068781737518564,-11.309932474020213,26.56505117707799,0.019893143442512425,0.022598626979567743,0.028751265400246265,0.046464178340737586,1260.2541505749984,1124.2415886305155,1140.781097714828,1.4189385332046727,1.4189385332046731,1.418938533204673,0.9994208539355084,0.9991696175242482,0.9987622630599308
ক_041c8727_Right Hand_20250425_143649_preprocessed.csv,ক_041c8727_Right Hand_20250425_143649_preprocessed,8.006115332508172e-17,-0.5007181609384768,1.0,1.0000000000000002,-1.3879139329745305,3.285361648531468,4.673275581505998,1.0,1.4218015995883886,0.9113856620583327,4.673275581505998,1.0000000000000002,0.0028169014084507044,2.001528833127043e-17,-0.060571275648552955,1.0,1.0,-3.0192195234945114,4.004449222612003,7.023668746106514,1.0,0.5619446313964742,3.469504998187827,7.023668746106514,1.0,0.005633802816901409,-4.315796546430186e-16,0.00054661612357185,0.9999999999999999,0.9999999999999999,-2.3786548032811443,3.1475851271996347,5.526239930480779,0.9999999999999999,0.5346173078908784,1.878183585282998,5.526239930480779,0.9999999999999999,0.019014084507042252,1.9665596743888987,0.0704225352112676,709.9999836740847,5.2307172029412445,1.972049379689509,7049.641943294584,8.37108160567368e-14,699.641605884955,510.16875356781384,219.00861211806395,142.88963170781665,0.6338028169014084,709.9999998697267,5.127213606279589,1.9534040093104337,7049.176624736507,2.1538326677728037e-14,87.50027640928705,58.91559130399008,40.2395694911888,34.27086315045683,0.5633802816901408,709.9999974894715,5.133881708204025,1.7301613108337683,7049.350061410251,6.191713808334498e-13,13.320375102105524,47.88819805600439,64.20541563308281,134.28475575150412,1.3427986593040673,1.196891760571199,1.7320508075688772,5.315264687697666,0.3855468264795013,4.9297178612181645,0.3244739496029,0.05974006563505409,0.03130009637595459,0.3247026134151644,0.05978216575178071,0.03132215423104689,79.80787071468788,89.35621380876405,10.835915476548077,-0.002471050801159355,88,87,6.285714285714286,6.214285714285714,1962,1.3427986593040673,-10.509316901587907,-2.6552929865329467,0.017091270295771236,0.02654666023965275,0.024888480681755937,0.046162316991962035,1134.2516712774354,835.1096053053809,822.3562164363748,1.4189385332046711,1.4189385332046716,1.4189385332046731,0.99963338110105,0.9986888227497673,0.9988889319543878
ক_041c8727_Right Hand_20250425_143657_preprocessed.csv,ক_041c8727_Right Hand_20250425_143657_preprocessed,-1.1414341136708436e-16,-0.3764480169610056,1.0,1.0,-0.8143387825281504,4.03472777897075,4.8490665614989,1.0,2.327944779634409,5.08951156487,4.8490665614989,1.0,0.00321285140562249,-4.565736454683375e-17,-0.229028231207965,1.0,1.0,-2.51745743240432,3.220391430184233,5.737848862588553,1.0,0.581960893819705,1.1771243932832043,5.737848862588553,1.0,0.00963855421686747,5.707170568354218e-16,-0.0907915971314698,1.0,1.0,-1.9843997125857469,4.768566835159077,6.7529665477448235,1.0,1.6933265968179159,5.294412087257058,6.7529665477448235,1.0,0.01606425702811245,1.95085467822728,0.08032128514056225,622.4999641376212,5.1731560748006755,2.2229605831258215,6199.219862796777,1.361133428190442e-13,549.082686818082,426.50835599415814,209.38207853893343,143.15822123371333,0.642570281124498,622.4999897513848,5.231254390710983,2.295492168516755,6198.938342753332,5.639932965095795e-14,215.9126975376458,36.80801447538887,74.32149037990212,109.03463282171191,0.7228915662650602,622.4999535791268,6.059478359218068,3.091301627306119,6195.635687609886,7.05546732149287e-13,118.1412302530823,100.96839353628648,82.32831009716871,105.64039816449834,1.331549488041888,1.2269759608953859,1.7320508075688772,6.24754475134296,0.26778826157540914,5.979756489767551,-0.04924330321428667,0.625025918127427,-0.1247687527786388,-0.049282887863172746,0.6255283505374973,-0.12486904920370204,79.50852298766841,88.30284381039972,12.188633201931891,0.004593315324512964,84,84,7.0,7.0,1368,1.331549488041888,-11.309932474020213,-4.573921259900861,0.015776679845433076,0.0285157868779296,0.03485108204937883,0.05520504961633355,850.1627791829565,880.6871367151018,697.0478355953089,1.4189385332046733,1.4189385332046724,1.4189385332046711,0.9995956910900491,0.9988235405998764,0.9974673309069435
ক_0e4e9ee0_Right Hand_20250426_005722_preprocessed.csv,ক_0e4e9ee0_Right Hand_20250426_005722_preprocessed,2.6074962780187164e-17,-0.45068052373233947,1.0,1.0,-1.676212786807585,2.8932505776439807,4.569463364451566,1.0,1.2774761855839225,0.8848601083605647,4.569463364451566,1.0,0.007339449541284404,0.0,-0.04468645355655085,1.0,1.0,-2.6346036392377123,2.996747397486449,5.631351036724162,1.0,0.27952739445394487,1.0931473510801766,5.631351036724162,1.0,0.011926605504587157,5.883163477279728e-16,0.05963045817549735,0.9999999999999999,0.9999999999999998,-2.1191927472007825,3.095634518418937,5.21482726561972,0.9999999999999999,0.47899334436709035,1.1298045375468808,5.21482726561972,0.9999999999999998,0.014678899082568808,2.088185517448705,0.09174311926605504,544.9999985396508,4.963480341905499,1.796823723173992,5399.542312278509,2.9753977059954195e-14,448.36484322069253,244.8183914208501,121.03886642762986,134.82384860765464,0.6422018348623852,544.9999986453595,4.604005341125947,2.054859924272404,5399.598843147685,1.2878587085651816e-14,32.76600876294908,47.15238592671387,51.98789798582765,17.98228364509964,0.5504587155963302,544.9999996448928,4.690686074847589,1.7874335496084734,5399.628257276057,6.390443729742401e-13,43.99164650203422,31.253053821549898,108.45500362082684,208.48176039538941,1.381540574779369,1.0913456402382913,1.7320508075688772,4.38697398984361,0.39490494588029906,3.992069043963311,0.47749151851349114,0.39125731779192574,0.004856484301380677,0.47792998639091383,0.3916165990754812,0.0048609438829246435,87.4622357110175,90.0,2.537764288982401,-0.006221540334908216,48,50,4.8,5.0,1574,1.381540574779369,2.5377642889825083,0.0,0.027522840146104278,0.029420900185550325,0.028839436139563714,0.055147536110407645,869.7217029190507,698.8642271856239,706.9876201231536,1.4189385332046727,1.4189385332046727,1.4189385332046727,0.9990054135993636,0.998772245140386,0.9988432357814871
