Feature,F_value,p_value
covariance_yz,23.82027265120329,1.1408696797371541e-22
correlation_yz,23.81829271478269,1.145220314458275e-22
z_norm_dominant_freq,19.14784718720449,1.2076222687198537e-18
y_norm_fft_coef_4,17.496872130735877,3.6788360331845724e-17
z_norm_fft_coef_4,10.563721578033496,1.4729870064821512e-10
y_norm_fft_coef_3,9.854387683722772,7.534832411892901e-10
y_norm_min,8.638497851475256,1.2734468816165667e-08
z_norm_max,7.739913021323578,1.0511794171991354e-07
z_norm_peak_to_peak,6.8410256911389276,8.808592036977244e-07
z_norm_range,6.8410256911389276,8.808592036977244e-07
y_norm_skewness,5.810452771013312,1.0186704252220719e-05
z_norm_min,5.709854788076542,1.2938962296666017e-05
x_norm_median,4.563300602999976,0.0001963622994451118
auc_y,4.176475387098422,0.0004884590986980698
magnitude_min,4.094412865367825,0.0005922092949851003
x_norm_min,3.8994913738869106,0.0009345814204092762
autocorr_x,3.679150161151152,0.0015614371573721185
autocorr_z,3.6514167472350723,0.0016652859816957896
z_norm_median,3.6066496160376973,0.0018474869472402727
covariance_xz,3.6056209519889046,0.0018518969608517062
correlation_xz,3.6049902888618175,0.0018546058302137806
magnitude_range,3.567302917316573,0.002023784504583692
y_norm_peak_to_peak,3.527941453175735,0.0022167344085039704
y_norm_range,3.527941453175735,0.0022167344085039704
jerk_z_mean,3.3853331082303826,0.0030801442040815346
magnitude_max,3.021516790602935,0.007070109236325347
z_norm_fft_coef_3,2.9730337084109224,0.00788965829135427
x_norm_fft_coef_4,2.8694616584214807,0.009963157655585326
x_norm_spectral_entropy,2.5580071011206473,0.01991742777924167
y_norm_dominant_freq,2.55251508110842,0.020159452805722736
y_norm_zero_crossing_rate,2.5093630096521293,0.022162282360598258
x_norm_fft_coef_1,2.5061855042508894,0.022317105760823158
jerk_x_mean,2.4906459355855395,0.023089385259705705
x_norm_dominant_freq,2.4734225010699804,0.023975383247435367
auc_z,2.4170804501165297,0.02710770870977168
covariance_xy,2.353590370804921,0.03110744020365397
correlation_xy,2.353223763068578,0.0311320977618923
z_norm_spectral_entropy,2.321263651115516,0.0333549799904844
total_peaks,2.308043442597985,0.03431808741412626
x_norm_fft_coef_2,2.3064072307837757,0.03443911581257909
x_norm_zero_crossing_rate,2.238462005784159,0.03983978226399721
total_troughs,2.1887702378795537,0.044289169573840034
y_norm_spectral_centroid,2.1713544985308313,0.04595708940717942
x_norm_spectral_energy,2.1532161518294273,0.047757281841118965
y_norm_spectral_energy,2.153215128078584,0.047757385301845125
z_norm_spectral_energy,2.153214846359013,0.04775741377259073
x_norm_band_power_0_10Hz,2.146987417788533,0.04839069418898537
y_norm_band_power_0_10Hz,2.1463238328809364,0.048458641190819794
z_norm_band_power_0_10Hz,2.144901546273124,0.048604578185768334
z_norm_kurtosis,2.1206799991829524,0.051154472000541414
y_norm_spectral_entropy,2.113800622296905,0.051901376183304294
x_norm_skewness,2.063645052075791,0.05766526501833641
x_norm_range,1.9794089038469036,0.06871598580502157
x_norm_peak_to_peak,1.9794089038469036,0.06871598580502157
y_norm_median,1.922043847607313,0.07733944935129303
activity_counts,1.866568743824847,0.08662299784364226
jerk_magnitude,1.8355645950356667,0.09224860296931157
z_norm_skewness,1.8175603100877713,0.09566746895320961
auc_x,1.7444687111802102,0.11076953339900274
jerk_y_mean,1.7190533421167131,0.11650837553486867
x_norm_mean,1.609711572988749,0.1443721103648205
angle_xz_yz,1.4293024675792103,0.20331374863274987
peaks_per_window,1.4027215105236064,0.2135435687011103
y_norm_kurtosis,1.3801543574664832,0.22256563601371496
troughs_per_window,1.3668156041104644,0.22804661150737415
z_norm_spectral_centroid,1.345398566230398,0.23708134116679466
angle_xy_xz,1.3231745727028468,0.24676657888889794
y_norm_max,1.2838003027966587,0.2647176659776568
x_norm_spectral_centroid,1.2467753601518625,0.2825414468662466
y_norm_fft_coef_2,1.2293908864563805,0.29123160757074285
tilt_y,1.1388068899308121,0.3399013648529437
z_norm_fft_coef_1,1.0856162503490225,0.3711588407422777
tilt_x,1.0119686402955723,0.41768731390351876
autocorr_y,0.9968827813547231,0.4276737559895466
x_norm_fft_coef_0,0.9893182864075005,0.4327381785150436
y_norm_fft_coef_1,0.8912247868638018,0.5016892014488559
x_norm_fft_coef_3,0.7980910783090407,0.5720945089470717
angle_xy_yz,0.7691446995557288,0.5947463812691364
x_norm_max,0.7674708562850278,0.5960651671305848
z_norm_fft_coef_0,0.7565046988487744,0.6047269687179722
entropy_x,0.6708641182153817,0.673297364735651
entropy_y,0.6708641182153432,0.6732973647356806
entropy_z,0.6708641182100539,0.6732973647399394
z_norm_zero_crossing_rate,0.6654399688079211,0.6776700418918744
x_norm_kurtosis,0.6594765626188035,0.6824778552572964
magnitude_var,0.6120389583154652,0.7206455715395587
y_norm_mean,0.5618233642618002,0.7605564928801312
z_norm_fft_coef_2,0.5104605763586104,0.800278599236645
svm,0.49853812066916664,0.8092704811650201
magnitude_mean,0.49853812066916664,0.8092704811650201
z_norm_mean,0.4290374329982614,0.8593172463261726
avg_window_slope,0.39553414127009046,0.8816344091429092
y_norm_fft_coef_0,0.39158758856687886,0.8841711449049607
sma,0.17687282548643998,0.9829504151689248
magnitude_rms,-0.0,1.0
x_norm_std,,
x_norm_var,,
x_norm_rms,,
x_norm_energy,,
y_norm_std,,
y_norm_var,,
y_norm_rms,,
y_norm_energy,,
z_norm_std,,
z_norm_var,,
z_norm_rms,,
z_norm_energy,,
