timestamp,user_id,hand_preference,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0009381771087646484,1703ad9a,Right Hand,-0.16,-0.11,1.11,0.49,0.08,-0.29
0.0010352134704589844,1703ad9a,Right Hand,-0.16,-0.11,1.11,0.49,0.08,-0.29
0.0010752677917480469,1703ad9a,Right Hand,-0.16,-0.11,1.11,0.49,0.08,-0.29
0.0011188983917236328,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0011513233184814453,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0011699199676513672,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0011878013610839844,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0012066364288330078,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.001224517822265625,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0012814998626708984,1703ad9a,Right Hand,-0.24,0.07,0.96,0.42,0.08,-0.26
0.0013058185577392578,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.0037276744842529297,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.004705905914306641,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.0048542022705078125,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.0048787593841552734,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.004896640777587891,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.004915714263916016,1703ad9a,Right Hand,-0.28,0.07,0.87,0.42,0.05,-0.39
0.07407689094543457,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07820510864257812,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07827377319335938,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07829475402832031,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07832169532775879,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.0783383846282959,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07835650444030762,1703ad9a,Right Hand,-0.28,-0.07,0.86,0.2,-0.29,-0.35
0.07837796211242676,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07839679718017578,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07842230796813965,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07843875885009766,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07845640182495117,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07847809791564941,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07849621772766113,1703ad9a,Right Hand,-0.25,-0.13,0.88,0.43,-0.23,-0.12
0.07851362228393555,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
0.07853865623474121,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
0.07855653762817383,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
0.07873821258544922,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
0.07876873016357422,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
0.0787956714630127,1703ad9a,Right Hand,-0.23,-0.05,0.89,0.41,-0.26,-0.01
